"","tourney_date","tourney_name","surface","draw_size","tourney_level","match_num","winner_id","loser_id","best_of","winner_rank","winner_rank_points","loser_rank","loser_rank_points","player_rank","player_id"
"100",2011-07-31,"Kitzbuhel","Clay",28,"A",20,104898,103852,"3",53,886,28,1345,28,"Feliciano Lopez"
"101",2011-08-08,"Canada Masters","Hard",56,"M",13,103852,103285,"3",25,1345,27,1338,25,"Feliciano Lopez"
"102",2011-08-08,"Canada Masters","Hard",56,"M",33,103888,103852,"3",8,2505,25,1345,25,"Feliciano Lopez"
"103",2011-08-14,"Cincinnati Masters","Hard",56,"M",5,103852,103507,"3",25,1380,106,530,25,"Feliciano Lopez"
"104",2011-08-14,"Cincinnati Masters","Hard",56,"M",27,104259,103852,"3",47,910,25,1380,25,"Feliciano Lopez"
"105",2011-08-29,"US Open","Hard",128,"G",45,103852,105147,"5",26,1415,127,440,26,"Feliciano Lopez"
"106",2011-08-29,"US Open","Hard",128,"G",87,103852,105577,"5",26,1415,143,382,26,"Feliciano Lopez"
"107",2011-08-29,"US Open","Hard",128,"G",108,104918,103852,"5",4,6535,26,1415,26,"Feliciano Lopez"
"108",2011-10-03,"Beijing","Hard",32,"A",11,103852,104947,"3",28,1325,114,510,28,"Feliciano Lopez"
"109",2011-10-03,"Beijing","Hard",32,"A",22,104022,103852,"3",37,1090,28,1325,28,"Feliciano Lopez"
"110",2011-10-09,"Shanghai Masters","Hard",56,"M",4,103852,104386,"3",28,1325,13,2075,28,"Feliciano Lopez"
"111",2011-10-09,"Shanghai Masters","Hard",56,"M",27,103852,104166,"3",28,1325,38,1076,28,"Feliciano Lopez"
"112",2011-10-09,"Shanghai Masters","Hard",56,"M",42,103852,104607,"3",28,1325,7,3230,28,"Feliciano Lopez"
"113",2011-10-09,"Shanghai Masters","Hard",56,"M",49,103852,104252,"3",28,1325,23,1645,28,"Feliciano Lopez"
"114",2011-10-09,"Shanghai Masters","Hard",56,"M",53,103970,103852,"3",5,4200,28,1325,28,"Feliciano Lopez"
"115",2011-10-31,"Valencia","Hard",32,"A",8,104166,103852,"3",33,1170,21,1675,21,"Feliciano Lopez"
