tourney_date,tourney_name,surface,draw_size,tourney_level,match_num,winner_id,loser_id,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points
292,Hard,32,A,20000110,101682,,,R16,,,,
291,Hard,32,A,20000110,101885,,,R16,,,,
290,Hard,32,A,20000110,101841,,,R16,,,,
289,Hard,32,A,20000110,101758,,,R16,,,,
288,Hard,32,A,20000110,102401,,,R16,,,,
287,Hard,32,A,20000110,103720,,,R16,,,,
286,Hard,32,A,20000110,101983,,,R16,,,,
300,Carpet,48,M,20001113,101900,,,F,,,,
299,Carpet,48,M,20001113,101900,,,SF,,,,
298,Carpet,48,M,20001113,101235,,,SF,,,,
297,Carpet,48,M,20001113,101711,,,QF,,,,
296,Carpet,48,M,20001113,101900,,,QF,,,,
295,Carpet,48,M,20001113,101235,,,QF,,,,
294,Carpet,48,M,20001113,102984,,,QF,,,,
293,Carpet,48,M,20001113,102984,,,R16,,,,
292,Carpet,48,M,20001113,101711,,,R16,,,,
291,Carpet,48,M,20001113,102839,,,R16,,,,
290,Carpet,48,M,20001113,101885,,,R16,,,,
289,Carpet,48,M,20001113,101900,,,R16,,,,
288,Carpet,48,M,20001113,101235,,,R16,,,,
287,Carpet,48,M,20001113,101682,,,R16,,,,
286,Carpet,48,M,20001113,102422,,,R16,,,,
285,Carpet,48,M,20001113,101885,,,R32,,,,
284,Carpet,48,M,20001113,102035,,,R32,,,,
283,Carpet,48,M,20001113,102369,,,R32,,,,
282,Carpet,48,M,20001113,102765,,,R32,,,,
281,Carpet,48,M,20001113,102984,,,R32,,,,
280,Carpet,48,M,20001113,101904,,,R32,,,,
279,Carpet,48,M,20001113,102422,,,R32,,,,
278,Carpet,48,M,20001113,102839,,,R32,,,,
300,Hard,48,M,20001030,102562,,,F,,,,
299,Hard,48,M,20001030,102562,,,SF,,,,
298,Hard,48,M,20001030,101515,,,SF,,,,
297,Hard,48,M,20001030,102035,,,QF,,,,
296,Hard,48,M,20001030,102562,,,QF,,,,
295,Hard,48,M,20001030,101885,,,QF,,,,
294,Hard,48,M,20001030,101515,,,QF,,,,
293,Hard,48,M,20001030,101885,,,R16,,,,
292,Hard,48,M,20001030,101704,,,R16,,,,
291,Hard,48,M,20001030,101515,,,R16,,,,
290,Hard,48,M,20001030,101965,,,R16,,,,
289,Hard,48,M,20001030,102562,,,R16,,,,
288,Hard,48,M,20001030,101341,,,R16,,,,
287,Hard,48,M,20001030,102035,,,R16,,,,
286,Hard,48,M,20001030,101964,,,R16,,,,
285,Hard,48,M,20001030,101736,,,R32,,,,
284,Hard,48,M,20001030,101341,,,R32,,,,
283,Hard,48,M,20001030,101885,,,R32,,,,
282,Hard,48,M,20001030,102405,,,R32,,,,
281,Hard,48,M,20001030,102035,,,R32,,,,
280,Hard,48,M,20001030,103819,,,R32,,,,
279,Hard,48,M,20001030,101964,,,R32,,,,
278,Hard,48,M,20001030,101515,,,R32,,,,
300,Clay,32,A,20000306,101341,,,F,,,,
299,Clay,32,A,20000306,101341,,,SF,,,,
298,Clay,32,A,20000306,102607,,,SF,,,,
297,Clay,32,A,20000306,101341,,,QF,,,,
296,Clay,32,A,20000306,102426,,,QF,,,,
295,Clay,32,A,20000306,101758,,,QF,,,,
294,Clay,32,A,20000306,102607,,,QF,,,,
293,Clay,32,A,20000306,102477,,,R16,,,,
292,Clay,32,A,20000306,101341,,,R16,,,,
291,Clay,32,A,20000306,101507,,,R16,,,,
290,Clay,32,A,20000306,101758,,,R16,,,,
289,Clay,32,A,20000306,102607,,,R16,,,,
288,Clay,32,A,20000306,102426,,,R16,,,,
287,Clay,32,A,20000306,102111,,,R16,,,,
286,Clay,32,A,20000306,101962,,,R16,,,,
300,Clay,32,A,20000410,103096,,,F,,,,
299,Clay,32,A,20000410,103096,,,SF,,,,
298,Clay,32,A,20000410,102694,,,SF,,,,
297,Clay,32,A,20000410,101341,,,QF,,,,
296,Clay,32,A,20000410,102388,,,QF,,,,
295,Clay,32,A,20000410,102694,,,QF,,,,
294,Clay,32,A,20000410,103096,,,QF,,,,
293,Clay,32,A,20000410,102664,,,R16,,,,
292,Clay,32,A,20000410,102463,,,R16,,,,
291,Clay,32,A,20000410,102388,,,R16,,,,
290,Clay,32,A,20000410,102529,,,R16,,,,
289,Clay,32,A,20000410,101341,,,R16,,,,
288,Clay,32,A,20000410,102135,,,R16,,,,
287,Clay,32,A,20000410,102694,,,R16,,,,
286,Clay,32,A,20000410,103096,,,R16,,,,
300,Hard,48,A,20000214,102925,,,F,,,,
299,Hard,48,A,20000214,101026,,,SF,,,,
298,Hard,48,A,20000214,102925,,,SF,,,,
297,Hard,48,A,20000214,101704,,,QF,,,,
296,Hard,48,A,20000214,102925,,,QF,,,,
295,Hard,48,A,20000214,101341,,,QF,,,,
294,Hard,48,A,20000214,101026,,,QF,,,,
293,Hard,48,A,20000214,101704,,,R16,,,,
292,Hard,48,A,20000214,101341,,,R16,,,,
291,Hard,48,A,20000214,102925,,,R16,,,,
290,Hard,48,A,20000214,101026,,,R16,,,,
289,Hard,48,A,20000214,101342,,,R16,,,,
288,Hard,48,A,20000214,102998,,,R16,,,,
287,Hard,48,A,20000214,101515,,,R16,,,,
286,Hard,48,A,20000214,101366,,,R16,,,,
285,Hard,48,A,20000214,101341,,,R32,,,,
284,Hard,48,A,20000214,103031,,,R32,,,,
283,Hard,48,A,20000214,103184,,,R32,,,,
282,Hard,48,A,20000214,101342,,,R32,,,,
281,Hard,48,A,20000214,101026,,,R32,,,,
280,Hard,48,A,20000214,101688,,,R32,,,,
279,Hard,48,A,20000214,103163,,,R32,,,,
278,Hard,48,A,20000214,102422,,,R32,,,,
300,Hard,96,M,20000320,101185,,,F,,,,
299,Hard,96,M,20000320,102093,,,SF,,,,
298,Hard,96,M,20000320,101185,,,SF,,,,
297,Hard,96,M,20000320,101711,,,QF,,,,
296,Hard,96,M,20000320,101185,,,QF,,,,
295,Hard,96,M,20000320,102093,,,QF,,,,
294,Hard,96,M,20000320,101342,,,QF,,,,
293,Hard,96,M,20000320,101711,,,R16,,,,
292,Hard,96,M,20000320,101342,,,R16,,,,
291,Hard,96,M,20000320,101185,,,R16,,,,
290,Hard,96,M,20000320,101235,,,R16,,,,
289,Hard,96,M,20000320,101647,,,R16,,,,
288,Hard,96,M,20000320,102562,,,R16,,,,
287,Hard,96,M,20000320,102925,,,R16,,,,
286,Hard,96,M,20000320,102093,,,R16,,,,
285,Hard,96,M,20000320,101711,,,R32,,,,
284,Hard,96,M,20000320,101704,,,R32,,,,
283,Hard,96,M,20000320,101185,,,R32,,,,
282,Hard,96,M,20000320,101235,,,R32,,,,
281,Hard,96,M,20000320,101647,,,R32,,,,
280,Hard,96,M,20000320,102093,,,R32,,,,
279,Hard,96,M,20000320,101682,,,R32,,,,
278,Hard,96,M,20000320,102925,,,R32,,,,
277,Hard,96,M,20000320,101758,,,R32,,,,
276,Hard,96,M,20000320,102562,,,R32,,,,
275,Hard,96,M,20000320,102856,,,R32,,,,
274,Hard,96,M,20000320,103184,,,R32,,,,
273,Hard,96,M,20000320,101730,,,R32,,,,
272,Hard,96,M,20000320,102998,,,R32,,,,
271,Hard,96,M,20000320,101342,,,R32,,,,
270,Hard,96,M,20000320,101964,,,R32,,,,
269,Hard,96,M,20000320,102388,,,R64,,,,
268,Hard,96,M,20000320,102902,,,R64,,,,
267,Hard,96,M,20000320,101758,,,R64,,,,
266,Hard,96,M,20000320,103184,,,R64,,,,
265,Hard,96,M,20000320,101507,,,R64,,,,
264,Hard,96,M,20000320,102093,,,R64,,,,
263,Hard,96,M,20000320,103819,,,R64,,,,
262,Hard,96,M,20000320,101342,,,R64,,,,
261,Hard,96,M,20000320,102998,,,R64,,,,
260,Hard,96,M,20000320,102834,,,R64,,,,
259,Hard,96,M,20000320,102251,,,R64,,,,
258,Hard,96,M,20000320,101964,,,R64,,,,
257,Hard,96,M,20000320,101515,,,R64,,,,
256,Hard,96,M,20000320,102856,,,R64,,,,
255,Hard,96,M,20000320,102839,,,R64,,,,
254,Hard,96,M,20000320,101761,,,R64,,,,
300,Hard,64,M,20000313,101711,,,F,,,,
299,Hard,64,M,20000313,101711,,,SF,,,,
298,Hard,64,M,20000313,101235,,,SF,,,,
297,Hard,64,M,20000313,101235,,,QF,,,,
296,Hard,64,M,20000313,101711,,,QF,,,,
295,Hard,64,M,20000313,103819,,,QF,,,,
294,Hard,64,M,20000313,101965,,,QF,,,,
293,Hard,64,M,20000313,101704,,,R16,,,,
292,Hard,64,M,20000313,101711,,,R16,,,,
291,Hard,64,M,20000313,101185,,,R16,,,,
290,Hard,64,M,20000313,103819,,,R16,,,,
289,Hard,64,M,20000313,102834,,,R16,,,,
288,Hard,64,M,20000313,101235,,,R16,,,,
287,Hard,64,M,20000313,101682,,,R16,,,,
286,Hard,64,M,20000313,101965,,,R16,,,,
285,Hard,64,M,20000313,101704,,,R32,,,,
284,Hard,64,M,20000313,101711,,,R32,,,,
283,Hard,64,M,20000313,101185,,,R32,,,,
282,Hard,64,M,20000313,101965,,,R32,,,,
281,Hard,64,M,20000313,101885,,,R32,,,,
280,Hard,64,M,20000313,102286,,,R32,,,,
279,Hard,64,M,20000313,101235,,,R32,,,,
278,Hard,64,M,20000313,101682,,,R32,,,,
277,Hard,64,M,20000313,103096,,,R32,,,,
276,Hard,64,M,20000313,101793,,,R32,,,,
275,Hard,64,M,20000313,102093,,,R32,,,,
274,Hard,64,M,20000313,102358,,,R32,,,,
273,Hard,64,M,20000313,103819,,,R32,,,,
272,Hard,64,M,20000313,101342,,,R32,,,,
271,Hard,64,M,20000313,102834,,,R32,,,,
270,Hard,64,M,20000313,101964,,,R32,,,,
300,Hard,32,A,20000214,101682,,,F,,,,
